"Region, subregion, country or area",Origin Latitude,Origin Longitude,Total Population (2000),Total Population (2005),Total Population (2010),Total Population (2015),Total Population (2020),Destination,Destination Latitude,Destination Longitude,Total Migrants (2000),Total Migrants (2005),Total Migrants (2010),Total Migrants (2015),Total Migrants (2020),Total Migrants (2000-2020),Proportion of Emigration per Population (%) (2000),Proportion of Emigration per Population (%) (2005),Proportion of Emigration per Population (%) (2010),Proportion of Emigration per Population (%) (2015),Proportion of Emigration per Population (%) (2020),Number of Emigration per Population ( '000s) (2000),Number of Emigration per Population ( '000s) (2005),Number of Emigration per Population ( '000s) (2010),Number of Emigration per Population ( '000s) (2015),Number of Emigration per Population ( '000s) (2020),,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Czechia,49.817492,15.472962,17,177,320,509,1590,2613,2.18066E-05,0.000205191,0.000338135,0.000494024,0.001417226,0.000218066,0.002051906,0.003381352,0.004940243,0.014172263,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Czechia,49.817492,15.472962,7,20,31,53,115,226,0.000172686,0.000460338,0.000600358,0.00093805,0.001945898,0.001726859,0.004603377,0.006003575,0.009380501,0.019458976,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Czechia,49.817492,15.472962,16,279,515,864,1418,3092,2.537E-05,0.000423875,0.000754352,0.001229116,0.001983892,0.0002537,0.004238746,0.007543523,0.012291165,0.01983892,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Czechia,49.817492,15.472962,1,1,0,0,0,2,0.000113849,0.000103166,0,0,0,0.001138485,0.001031659,0,0,0,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Czechia,49.817492,15.472962,7208,31521,52748,45525,50350,187352,0.009123919,0.037912203,0.0603448,0.049380963,0.052095898,0.091239187,0.379122032,0.603447996,0.493809629,0.520958976,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Hungary,47.162494,19.503304,0,0,0,2,1,3,0,0,0,0.000474567,0.000226385,0,0,0,0.004745668,0.002263852,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Hungary,47.162494,19.503304,51,63,74,53,88,329,0.000420832,0.000475594,0.000515194,0.000343765,0.000536688,0.004208323,0.004755943,0.005151936,0.003437647,0.005366881,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Hungary,47.162494,19.503304,147,181,217,211,567,1323,6.86684E-05,7.91066E-05,8.89285E-05,8.14383E-05,0.000208565,0.000686684,0.000791066,0.000889285,0.000814383,0.002085648,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Hungary,47.162494,19.503304,30,38,45,46,104,263,0.000552399,0.000649243,0.00071164,0.000677724,0.001420882,0.005523994,0.00649243,0.007116404,0.006777245,0.014208817,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Hungary,47.162494,19.503304,79,98,117,93,156,543,0.000344299,0.000378035,0.000407414,0.000299335,0.00046988,0.003442993,0.003780348,0.004074138,0.002993353,0.004698796,,,,
