"Region, subregion, country or area",Origin Latitude,Origin Longitude,Total Population (2000),Total Population (2005),Total Population (2010),Total Population (2015),Total Population (2020),Destination,Destination Latitude,Destination Longitude,Total Migrants (2000),Total Migrants (2005),Total Migrants (2010),Total Migrants (2015),Total Migrants (2020),Total Migrants (2000-2020),Proportion of Emigration per Population (%) (2000),Proportion of Emigration per Population (%) (2005),Proportion of Emigration per Population (%) (2010),Proportion of Emigration per Population (%) (2015),Proportion of Emigration per Population (%) (2020),Number of Emigration per Population ( '000s) (2000),Number of Emigration per Population ( '000s) (2005),Number of Emigration per Population ( '000s) (2010),Number of Emigration per Population ( '000s) (2015),Number of Emigration per Population ( '000s) (2020),,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,United Kingdom,55.378051,-3.435973,680,883,931,1113,1255,4862,0.005611098,0.00666587,0.006481693,0.007219058,0.007653904,0.056110976,0.0666587,0.064816927,0.072190585,0.076539045,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,United Kingdom,55.378051,-3.435973,6499,7530,7949,9513,10737,42228,0.003035888,0.00329101,0.003257571,0.003671669,0.003949489,0.030358885,0.032910099,0.03257571,0.036716692,0.039494888,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,United Kingdom,55.378051,-3.435973,450,522,550,658,741,2921,0.008285991,0.008918549,0.008697828,0.009694407,0.010123782,0.082859912,0.08918549,0.086978277,0.096944067,0.10123782,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,United Kingdom,55.378051,-3.435973,48230,55202,58281,69754,78736,310203,0.210196926,0.21294163,0.202944306,0.224514387,0.237156677,2.101969261,2.129416296,2.029443064,2.245143871,2.371566765,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,United Kingdom,55.378051,-3.435973,9590,10172,10738,12851,14505,57856,0.021059182,0.021314013,0.021740808,0.024961178,0.027151126,0.210591815,0.213140131,0.217408083,0.249611777,0.271511264,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,United Kingdom,55.378051,-3.435973,38793,78153,115812,130438,141722,504918,0.049761268,0.090600356,0.122375358,0.126600283,0.126322102,0.497612676,0.906003565,1.223753576,1.266002833,1.263221016,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,United Kingdom,55.378051,-3.435973,39131,38111,40236,48157,54357,219992,0.965338975,0.877196415,0.779225306,0.852333568,0.91976658,9.653389751,8.771964148,7.792253064,8.523335678,9.197665803,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,United Kingdom,55.378051,-3.435973,15716,27756,29304,35073,39589,147438,0.024919687,0.042168682,0.042923378,0.049894446,0.055388083,0.249196869,0.42168682,0.429233779,0.498944461,0.553880829,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,United Kingdom,55.378051,-3.435973,2293,1956,2064,2470,2787,11570,0.261054693,0.201792403,0.18962118,0.204841049,0.21438544,2.610546928,2.017924035,1.896211802,2.048410492,2.143854399,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,United Kingdom,55.378051,-3.435973,22566,24657,26032,31158,35168,139581,0.028564144,0.029656457,0.029781145,0.033797079,0.036387458,0.28564144,0.296564574,0.297811447,0.337970794,0.363874583,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Andorra,42.546245,1.601554,297,392,443,425,457,2014,0.000380973,0.000454433,0.000468106,0.000412496,0.000407341,0.003809733,0.004544335,0.004681059,0.004124957,0.004073411,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Croatia,45.1,15.2,0,14,27,27,23,91,0,6.11874E-06,1.10648E-05,1.0421E-05,8.4603E-06,0,6.11874E-05,0.000110648,0.00010421,8.4603E-05,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Croatia,45.1,15.2,0,38,75,75,69,257,0,4.40522E-05,7.92504E-05,7.27934E-05,6.15023E-05,0,0.000440522,0.000792504,0.000727934,0.000615023,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Greece,39.074208,21.824312,10,16,22,20,19,87,8.25161E-05,0.000120786,0.000153166,0.000129723,0.000115876,0.000825161,0.001207859,0.001531657,0.001297225,0.001158758,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Greece,39.074208,21.824312,259,356,470,442,450,1977,0.000120987,0.000155591,0.00019261,0.000170596,0.000165528,0.001209871,0.001555909,0.001926102,0.001705958,0.001655276,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Greece,39.074208,21.824312,6,24,43,40,40,153,0.00011048,0.000410048,0.000680012,0.000589326,0.000546493,0.001104799,0.004100482,0.00680012,0.005893256,0.00546493,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Greece,39.074208,21.824312,47,56,66,61,61,291,0.000204836,0.00021602,0.000229823,0.000196338,0.000183735,0.002048363,0.002160199,0.002298232,0.001963382,0.00183735,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Greece,39.074208,21.824312,21,21,20,24,95,181,4.6115E-05,4.40026E-05,4.04932E-05,4.66165E-05,0.000177825,0.00046115,0.000440026,0.000404932,0.000466165,0.001778254,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Greece,39.074208,21.824312,6061,7359,8970,8452,8638,39480,0.007774677,0.008531061,0.009478352,0.008203327,0.007699371,0.07774677,0.085310612,0.094783525,0.082033272,0.076993714,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Greece,39.074208,21.824312,70,77,87,81,83,398,0.001726859,0.0017723,0.001684874,0.001433624,0.00140443,0.017268592,0.017723,0.016848743,0.014336238,0.014044305,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Greece,39.074208,21.824312,322,354,400,376,383,1835,0.000510571,0.000537819,0.000585905,0.000534893,0.000535847,0.005105713,0.005378193,0.005859047,0.005348933,0.005358467,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Greece,39.074208,21.824312,6,114,230,215,217,782,0.000683091,0.011760907,0.021130267,0.017830294,0.016692372,0.006830912,0.11760907,0.211302672,0.178302938,0.166923719,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Greece,39.074208,21.824312,224,220,223,209,212,1088,0.00028354,0.000264607,0.000255117,0.000226702,0.000219351,0.002835402,0.002646072,0.002551166,0.002267023,0.002193511,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Italy,41.87194,12.56738,5,19,29,33,36,122,0.001497338,0.005181107,0.007322252,0.007830352,0.008149867,0.014973377,0.05181107,0.073222523,0.078303519,0.08149867,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Italy,41.87194,12.56738,292,807,1299,1315,1385,5098,0.002409471,0.006092137,0.009043737,0.008529256,0.008446739,0.024094713,0.060921371,0.090437366,0.08529256,0.084467392,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Italy,41.87194,12.56738,1227,2193,3122,3150,3734,13426,0.000573171,0.000958457,0.001279423,0.001215784,0.001373511,0.005731705,0.009584575,0.012794234,0.012157845,0.013735113,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Italy,41.87194,12.56738,179,220,268,250,251,1168,0.003295983,0.003758775,0.004238214,0.003683285,0.003429243,0.032959832,0.037587755,0.042382142,0.036832852,0.034292433,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Italy,41.87194,12.56738,339,476,632,608,677,2732,0.001477436,0.001836169,0.002200731,0.001956945,0.002039157,0.014774364,0.018361693,0.02200731,0.019569451,0.020391571,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Italy,41.87194,12.56738,165,303,385,451,437,1741,0.000362332,0.000634894,0.000779494,0.000876001,0.000817997,0.003623321,0.006348944,0.007794944,0.008760012,0.008179967,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Italy,41.87194,12.56738,85612,114522,137814,142694,151520,632162,0.109817793,0.132761814,0.145624266,0.13849569,0.135055424,1.098177931,1.327618137,1.456242663,1.384956901,1.350554243,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Italy,41.87194,12.56738,208,388,581,551,641,2369,0.005131239,0.00893055,0.011251862,0.009752181,0.010846264,0.051312388,0.089305505,0.112518616,0.097521813,0.108462641,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Italy,41.87194,12.56738,3842,6853,9476,9827,11338,41336,0.006091972,0.010411514,0.013880082,0.013979777,0.015862742,0.060919723,0.104115138,0.138800822,0.139797771,0.158627418,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Italy,41.87194,12.56738,44,62,69,99,77,351,0.005009336,0.006396283,0.00633908,0.008210228,0.0059231,0.050093356,0.063962827,0.063390802,0.082102283,0.059230997,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Italy,41.87194,12.56738,2017,3637,4973,5276,6077,21980,0.002553128,0.004374439,0.005689215,0.005722877,0.006287721,0.025531276,0.043744387,0.056892145,0.057228767,0.062877213,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Malta,35.937496,14.375416,18,22,18,30,63,151,8.40837E-06,9.61517E-06,7.37656E-06,1.15789E-05,2.31739E-05,8.40837E-05,9.61517E-05,7.37656E-05,0.000115789,0.000231739,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Malta,35.937496,14.375416,24,29,32,54,115,254,0.000104597,0.000111867,0.000111429,0.000173808,0.000346386,0.001045973,0.001118675,0.001114294,0.001738076,0.003463856,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Malta,35.937496,14.375416,139,165,391,664,1445,2804,0.000178301,0.000191279,0.000413159,0.000644464,0.001287982,0.001783006,0.001912794,0.00413159,0.006444639,0.012879824,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Malta,35.937496,14.375416,12,15,25,42,89,183,0.000296033,0.000345253,0.000484159,0.00074336,0.001505956,0.00296033,0.003452532,0.004841593,0.007433605,0.015059555,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Malta,35.937496,14.375416,63,75,87,148,320,693,9.98944E-05,0.000113945,0.000127434,0.000210543,0.000447705,0.000998944,0.001139448,0.001274343,0.002105431,0.004477048,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Portugal,39.399872,-8.224454,94,170,218,247,282,1011,4.39104E-05,7.4299E-05,8.93383E-05,9.53329E-05,0.000103731,0.000439104,0.00074299,0.000893383,0.000953329,0.001037306,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Portugal,39.399872,-8.224454,37,43,43,49,54,226,0.000161254,0.000165872,0.000149733,0.000157714,0.000162651,0.001612541,0.001658724,0.001497333,0.001577143,0.001626506,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Portugal,39.399872,-8.224454,253,366,419,474,542,2054,0.000324533,0.000424292,0.000442746,0.000460054,0.000483105,0.003245328,0.004242925,0.004427458,0.004600541,0.004831048,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Portugal,39.399872,-8.224454,25,27,25,28,30,135,0.000616735,0.000621456,0.000484159,0.000495574,0.000507625,0.006167354,0.006214558,0.004841593,0.004955736,0.005076255,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Portugal,39.399872,-8.224454,63,165,241,272,1676,2417,9.98944E-05,0.000250679,0.000353008,0.000386944,0.002344854,0.000998944,0.002506785,0.003530076,0.003869441,0.02344854,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Portugal,39.399872,-8.224454,2227,2040,1516,1717,1969,9469,0.253540689,0.210458335,0.139276022,0.142393555,0.151462121,2.535406895,2.104583349,1.392760219,1.423935552,1.51462121,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Portugal,39.399872,-8.224454,20,37,48,53,58,216,2.53161E-05,4.45021E-05,5.4913E-05,5.74891E-05,6.00112E-05,0.000253161,0.000445021,0.00054913,0.000574891,0.000600112,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Slovenia,46.151241,14.995463,0,0,2,6,3,11,0,0,1.39242E-05,3.89168E-05,1.82962E-05,0,0,0.000139242,0.000389168,0.000182962,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Slovenia,46.151241,14.995463,8,14,25,43,68,158,3.73705E-06,6.11874E-06,1.02452E-05,1.65964E-05,2.50131E-05,3.73705E-05,6.11874E-05,0.000102452,0.000165964,0.000250131,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Slovenia,46.151241,14.995463,0,0,1,3,2,6,0,0,1.58142E-05,4.41994E-05,2.73246E-05,0,0,0.000158142,0.000441994,0.000273246,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Slovenia,46.151241,14.995463,2,2,10,8,13,35,8.71644E-06,7.715E-06,3.48217E-05,2.57493E-05,3.91566E-05,8.71644E-05,7.715E-05,0.000348217,0.000257493,0.000391566,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Slovenia,46.151241,14.995463,0,0,4,2,1,7,0,0,8.09864E-06,3.88471E-06,1.87185E-06,0,0,8.09864E-05,3.88471E-05,1.87185E-05,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Slovenia,46.151241,14.995463,6,17,63,114,181,381,7.69643E-06,1.97076E-05,6.65704E-05,0.000110646,0.000161332,7.69643E-05,0.000197076,0.000665704,0.001106459,0.00161332,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Slovenia,46.151241,14.995463,1,0,8,11,7,27,2.46694E-05,0,0.000154931,0.00019469,0.000118446,0.000246694,0,0.00154931,0.001946896,0.001184459,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Slovenia,46.151241,14.995463,15,76,197,220,314,822,2.37844E-05,0.000115464,0.000288558,0.000312969,0.00043931,0.000237844,0.00115464,0.002885581,0.003129695,0.004393104,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Slovenia,46.151241,14.995463,0,1,6,15,24,46,0,1.20276E-06,6.86412E-06,1.62705E-05,2.48322E-05,0,1.20276E-05,6.86412E-05,0.000162705,0.000248322,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Spain,40.463667,-3.74922,39,19,23,22,27,130,0.011679234,0.005181107,0.005807304,0.005220235,0.0061124,0.116792343,0.05181107,0.058073036,0.052202346,0.061124002,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Spain,40.463667,-3.74922,103,50,82,95,125,455,0.000849916,0.000377456,0.00057089,0.000616182,0.000762341,0.008499163,0.003774558,0.005708902,0.00616182,0.007623411,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Spain,40.463667,-3.74922,1063,1057,1967,1937,2614,8638,0.000496561,0.000461965,0.000806094,0.000747611,0.000961531,0.004965609,0.004619651,0.008060941,0.00747611,0.009615315,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Spain,40.463667,-3.74922,376,181,203,188,251,1199,0.006923406,0.003092447,0.003210289,0.00276983,0.003429243,0.06923406,0.030924471,0.032102891,0.027698305,0.034292433,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Spain,40.463667,-3.74922,752,362,515,602,811,3042,0.003277381,0.001396414,0.001793317,0.001937633,0.002442772,0.032773811,0.013964144,0.017933172,0.019376331,0.024427716,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Spain,40.463667,-3.74922,145,70,76,87,116,494,0.000318413,0.000146675,0.000153874,0.000168985,0.000217134,0.003184131,0.001466753,0.001538742,0.001689847,0.002171341,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Spain,40.463667,-3.74922,16870,23923,38863,42659,51181,173496,0.021639795,0.027733194,0.041065464,0.041403897,0.045619533,0.216397955,0.277331942,0.41065464,0.414038968,0.456195332,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Spain,40.463667,-3.74922,640,308,421,503,678,2550,0.015788427,0.0070892,0.008153242,0.008902627,0.011472336,0.157884272,0.070891999,0.081532422,0.089026265,0.114723355,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Spain,40.463667,-3.74922,572,953,1630,2084,2812,8051,0.000906978,0.001447858,0.002387562,0.002964674,0.003934206,0.009069777,0.014478583,0.023875616,0.029646744,0.039342062,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Spain,40.463667,-3.74922,665,765,1112,1634,2205,6381,0.00084176,0.000920112,0.001272151,0.0017724,0.002281459,0.0084176,0.009201115,0.012721509,0.017723996,0.022814589,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Austria,47.516231,14.550072,4,4,4,11,8,31,0.00119787,0.001090759,0.001009966,0.002610117,0.001811082,0.011978702,0.010907594,0.010099658,0.026101173,0.018110816,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Austria,47.516231,14.550072,663,735,816,815,886,3915,0.00547082,0.005548601,0.005681054,0.005286193,0.005403474,0.054708202,0.055486007,0.056810539,0.052861929,0.054034736,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Austria,47.516231,14.550072,841,932,1035,1202,1442,5452,0.000392858,0.000407333,0.000424152,0.000463928,0.000530424,0.003928577,0.004073335,0.004241522,0.004639279,0.00530424,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Austria,47.516231,14.550072,86,95,105,120,134,540,0.001583545,0.001623108,0.001660494,0.001767977,0.001830751,0.01583545,0.016231076,0.016604944,0.017679769,0.018307514,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Austria,47.516231,14.550072,334,370,410,484,588,2186,0.001455645,0.001427274,0.001427689,0.001557831,0.001771085,0.014556453,0.014272744,0.014276894,0.015578313,0.017710847,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Austria,47.516231,14.550072,49,54,59,95,134,391,0.000107602,0.000113149,0.000119455,0.000184524,0.000250827,0.001076017,0.001131495,0.00119455,0.001845235,0.002508274,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Austria,47.516231,14.550072,9589,10632,11807,12138,13297,57463,0.012300178,0.012325349,0.012476132,0.011780879,0.011852112,0.123001778,0.123253489,0.124761324,0.117808786,0.118521118,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Austria,47.516231,14.550072,199,220,244,284,347,1294,0.004909214,0.005063714,0.004725395,0.005026533,0.005871535,0.049092141,0.050637142,0.047253945,0.050265327,0.058715345,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Austria,47.516231,14.550072,3879,4301,4776,5369,6244,24569,0.00615064,0.006534353,0.006995702,0.007637878,0.00873584,0.061506405,0.06534353,0.069957021,0.076378776,0.087358405,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Austria,47.516231,14.550072,0,0,0,35,35,70,0,0,0,0.002902606,0.002692318,0,0,0,0.02902606,0.02692318,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Austria,47.516231,14.550072,2314,2566,2849,2856,3412,13997,0.002929072,0.003086283,0.003259315,0.003097903,0.003530312,0.029290716,0.030862826,0.032593147,0.030979029,0.035303119,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Belgium,50.503887,4.469936,0,0,13,16,21,50,0,0,0.003282389,0.003796534,0.004754089,0,0,0.03282389,0.037965342,0.047540891,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Belgium,50.503887,4.469936,950,1277,1384,1444,1502,6557,0.007839033,0.009640222,0.009635513,0.009365966,0.00916029,0.078390335,0.096402219,0.09635513,0.093659662,0.091602904,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Belgium,50.503887,4.469936,1928,2612,3251,3354,3598,14743,0.00090063,0.001141583,0.001332289,0.001294521,0.001323485,0.009006298,0.011415827,0.013322887,0.01294521,0.013234852,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Belgium,50.503887,4.469936,1002,1204,1150,1149,1136,5641,0.01845014,0.020570753,0.018186367,0.016928379,0.0155204,0.184501403,0.20570753,0.181863669,0.169283788,0.155204,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Belgium,50.503887,4.469936,324,501,636,719,820,3000,0.001412063,0.001932607,0.00221466,0.002314216,0.00246988,0.014120631,0.019326067,0.022146596,0.023142163,0.0246988,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Belgium,50.503887,4.469936,47,103,149,224,195,718,0.00010321,0.000215822,0.000301674,0.000435087,0.00036501,0.001032098,0.002158222,0.003016745,0.004350871,0.0036501,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Belgium,50.503887,4.469936,8127,8392,8444,10423,11778,47164,0.010424814,0.009728586,0.008922543,0.010116337,0.01049817,0.104248143,0.097285861,0.089225427,0.101163369,0.104981705,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Belgium,50.503887,4.469936,1313,467,523,588,696,3587,0.032390945,0.010748884,0.010128612,0.010407046,0.011776911,0.323909451,0.107488842,0.101286121,0.104070465,0.117769108,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Belgium,50.503887,4.469936,3782,5685,7190,8668,9955,35280,0.005996835,0.008637014,0.010531637,0.012330997,0.013927817,0.059968348,0.086370139,0.105316369,0.12330997,0.139278174,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Belgium,50.503887,4.469936,0,0,3,7,4,14,0,0,0.000275612,0.000580521,0.000307693,0,0,0.002756122,0.005805212,0.003076935,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Belgium,50.503887,4.469936,4325,6840,7904,8206,8596,35871,0.005474604,0.00822688,0.009042339,0.008901047,0.008894068,0.054746044,0.082268795,0.09042339,0.089010474,0.088940682,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,France,46.227638,2.213749,35,89,45,50,52,271,0.010481364,0.024269396,0.011362116,0.011864169,0.01177203,0.104813641,0.242693957,0.113621157,0.118641695,0.117720301,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,France,46.227638,2.213749,73710,58654,59482,65925,72465,330236,0.60822648,0.442785887,0.414118199,0.42759787,0.441944372,6.082264797,4.427858867,4.141181988,4.275978703,4.419443723,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,France,46.227638,2.213749,4101,4242,4644,5147,5658,23792,0.001915707,0.001853979,0.001903153,0.001986553,0.002081234,0.019157068,0.018539793,0.019031525,0.019865533,0.020812338,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,France,46.227638,2.213749,53552,41673,40025,44359,48760,228369,0.986069776,0.711997499,0.63296464,0.653547394,0.666174914,9.860697758,7.119974987,6.329646403,6.535473941,6.661749141,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,France,46.227638,2.213749,2023,2262,2383,2640,2901,12209,0.008816678,0.008725661,0.008298009,0.008497262,0.008737954,0.08816678,0.087256615,0.082980093,0.084972615,0.087379536,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,France,46.227638,2.213749,716,369,442,490,537,2554,0.001572302,0.000773188,0.0008949,0.000951753,0.001005181,0.015723018,0.007731882,0.008949001,0.009517529,0.010051813,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,France,46.227638,2.213749,8495,10645,14295,15843,17414,66692,0.010896862,0.012340419,0.015105134,0.015376871,0.015521747,0.10896862,0.123404194,0.151051336,0.153768709,0.155217474,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,France,46.227638,2.213749,1436,2189,2144,2375,2608,10752,0.035425283,0.050383956,0.0415215,0.042035264,0.044129574,0.354252835,0.503839561,0.415214996,0.420352643,0.441295738,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,France,46.227638,2.213749,12851,14139,17044,18890,20763,83687,0.02037687,0.021480869,0.024965399,0.026872697,0.029049048,0.203768705,0.214808688,0.24965399,0.268726966,0.290490481,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,France,46.227638,2.213749,1,6,11,12,11,41,0.000113849,0.000618995,0.001010578,0.000995179,0.000846157,0.001138485,0.006189951,0.01010578,0.009951792,0.008461571,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,France,46.227638,2.213749,105501,118704,118068,130958,143865,617096,0.133543639,0.142772443,0.135072226,0.142050129,0.148853551,1.335436392,1.427724428,1.350722264,1.420501292,1.488535514,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Germany,51.165691,10.451526,865,1583,2171,2227,2987,9833,0.007137646,0.011950252,0.015114667,0.014444603,0.018216903,0.071376462,0.119502516,0.151146668,0.144446031,0.182169025,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Germany,51.165691,10.451526,10834,13611,15818,16234,21787,78284,0.005060904,0.00594873,0.006482357,0.006265729,0.008014111,0.050609041,0.059487299,0.064823572,0.062657287,0.080141112,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Germany,51.165691,10.451526,1102,2089,2895,2972,3986,13044,0.020291472,0.035691282,0.045782202,0.043786895,0.054458023,0.202914717,0.356912815,0.45782202,0.437868945,0.544580231,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Germany,51.165691,10.451526,3415,4267,4945,5075,6810,24512,0.01488332,0.016459946,0.017219327,0.016334698,0.020512053,0.148833196,0.164599459,0.17219327,0.163346979,0.205120525,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Germany,51.165691,10.451526,585,1271,1833,1881,2522,8092,0.001284632,0.002663204,0.003711203,0.003653566,0.004720796,0.01284632,0.02663204,0.037112033,0.036535659,0.047207956,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Germany,51.165691,10.451526,23660,35620,45303,46497,62408,213488,0.030349589,0.041293165,0.047870435,0.045128976,0.055626577,0.303495887,0.412931647,0.47870435,0.45128976,0.556265768,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Germany,51.165691,10.451526,1062,1743,2298,2359,3163,10625,0.026198921,0.040118426,0.044503921,0.041752079,0.053520645,0.261989214,0.401184265,0.445039207,0.417520794,0.535206449,,,,
