"Region, subregion, country or area","Location code of origin","Origin Latitude","Origin Longitude","Total Population (2000)","Total Population (2005)","Total Population (2010)","Total Population (2015)","Total Population (2020)","Destination","Location code of destination","Destination Latitude","Destination Longitude","Total Migrants (2000)","Total Migrants (2005)","Total Migrants (2010)","Total Migrants (2015)","Total Migrants (2020)","Total Migrants (2000-2020)","Proportion of Emigration per Population (%) (2000)","Proportion of Emigration per Population (%) (2005)","Proportion of Emigration per Population (%) (2010)","Proportion of Emigration per Population (%) (2015)","Proportion of Emigration per Population (%) (2020)","Number of Emigration per Population ( '000s) (2000)","Number of Emigration per Population ( '000s) (2005)","Number of Emigration per Population ( '000s) (2010)","Number of Emigration per Population ( '000s) (2015)","Number of Emigration per Population ( '000s) (2020)"
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Japan","392",36.204824,138.252924,29291,38934,41279,45379,53087,207970,0.04644455005765888,0.05915101116111852,0.06046389970928727,0.06455564303368304,0.07427283221880947,0.46444550057658884,0.5915101116111852,0.6046389970928727,0.6455564303368304,0.7427283221880946
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Japan","392",36.204824,138.252924,16909,39408,41781,146956,335668,580722,0.021403488066033274,0.047398372629412336,0.04779832545583616,0.1594031581992064,0.3473073637784104,0.21403488066033272,0.47398372629412333,0.4779832545583616,1.5940315819920639,3.4730736377841045
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Republic of Korea","410",35.907757,127.766922,44,4552,10863,41049,54573,111081,0.0003630710230458507,0.034363578894270316,0.07562903051979136,0.26624899473151425,0.3328259191089026,0.0036307102304585065,0.3436357889427032,0.7562903051979137,2.6624899473151427,3.3282591910890256
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Republic of Korea","410",35.907757,127.766922,18763,18502,28486,42084,50117,157952,0.00876479086486344,0.008086356659883486,0.011673816390850454,0.016242880858098382,0.018434993831521657,0.08764790864863438,0.08086356659883485,0.11673816390850454,0.1624288085809838,0.1843499383152166
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Republic of Korea","410",35.907757,127.766922,294,585,1108,1087,1684,4758,0.0012813165309444481,0.002256636594637398,0.003858243536023093,0.0034986830692997064,0.005072290226085289,0.012813165309444478,0.02256636594637398,0.038582435360230934,0.034986830692997066,0.05072290226085288
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Republic of Korea","410",35.907757,127.766922,1193,1978,3544,18128,26922,51765,0.0026197709656998417,0.004144624253666427,0.007175398070595389,0.035210974200910655,0.050393838272280146,0.026197709656998414,0.04144624253666426,0.07175398070595389,0.35210974200910655,0.5039383827228014
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Republic of Korea","410",35.907757,127.766922,17932,22847,34918,51632,64942,192271,0.023002063553962743,0.02648582069005492,0.0368968909524529,0.05011289523340781,0.05788522547584197,0.23002063553962743,0.26485820690054923,0.3689689095245291,0.5011289523340781,0.5788522547584196
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Republic of Korea","410",35.907757,127.766922,3640,12233,31372,77548,159264,284057,0.005771676016861096,0.018585152297065876,0.04595250518858888,0.11031889213019352,0.22282269388920964,0.05771676016861095,0.18585152297065877,0.45952505188588877,1.1031889213019355,2.228226938892096
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Republic of Korea","410",35.907757,127.766922,17554,45497,91420,124852,177274,456597,0.022219931959970907,0.05472197928137366,0.10458636493077096,0.13542695165551127,0.18342101602313574,0.22219931959970907,0.5472197928137366,1.0458636493077096,1.3542695165551129,1.8342101602313576
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Brunei Darussalam","096",4.535277,114.727669,5778,5907,6036,6165,6717,30603,0.00269908658621654,0.0025816727267285564,0.0024736065342685297,0.002379463940931863,0.002470775456757806,0.0269908658621654,0.025816727267285563,0.0247360653426853,0.02379463940931863,0.024707754567578066
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Brunei Darussalam","096",4.535277,114.727669,45258,46267,47276,48285,52628,239714,0.19724429781457087,0.1784748808958778,0.16462303376266044,0.15541298252174454,0.1585181057116488,1.9724429781457082,1.7847488089587777,1.6462303376266043,1.5541298252174454,1.585181057116488
